City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speeds
arlit,32,NE,1574532056,15,18.74,7.39,88.97,9.8
castanos,38,MX,1574532056,63,26.78,-101.42,64.33,6.04
catuday,76,PH,1574532056,79,16.29,119.81,81.0,5.61
peniche,20,PT,1574532056,76,39.36,-9.38,57.2,6.93
iqaluit,75,CA,1574532057,63,63.75,-68.52,28.4,14.99
saint-pierre,99,FR,1574532057,93,48.95,4.24,44.01,4.7
gourdon,96,FR,1574532057,93,44.74,1.38,51.8,11.41
albury,0,AU,1574531779,62,-36.08,146.92,55.99,3.27
marietta,90,US,1574532060,93,33.95,-84.55,64.99,6.93
gat,0,SN,1574532060,45,14.69,-16.54,100.4,13.87
marawi,76,PH,1574531699,93,8.0,124.29,75.0,7.0
kaitangata,100,NZ,1574532060,79,-46.28,169.85,58.19,14.32
aswan,0,EG,1574531705,17,24.09,32.9,75.2,10.29
berlevag,26,NO,1574532060,78,70.86,29.09,37.62,16.08
rapid valley,1,US,1574532060,27,44.06,-103.15,57.99,19.46
shanghai,75,CN,1574531840,88,31.23,121.49,68.0,2.24
sioux lookout,90,CA,1574532061,80,50.1,-91.92,30.2,8.05
paamiut,100,GL,1574532061,65,61.99,-49.67,33.39,13.51
yarim,77,YE,1574532061,60,14.3,44.38,57.4,13.22
wamba,100,CD,1574532061,98,2.14,27.99,66.61,0.96
voh,8,NC,1574532061,78,-20.95,164.69,69.98,8.48
verkhnevilyuysk,98,RU,1574531667,94,63.45,120.31,-7.94,6.04
fenoarivo,75,MG,1574532061,93,-18.93,47.44,66.2,9.17
felipe carrillo puerto,2,MX,1574532061,52,19.58,-88.05,86.56,4.32
saint george,40,GR,1574532061,82,39.45,22.34,59.0,5.03
san policarpo,50,PH,1574532062,86,12.18,125.51,80.82,7.18
celestun,80,MX,1574531682,70,20.87,-90.4,78.53,3.09
vao,100,EE,1574532062,49,59.1,26.19,25.5,6.6
riyadh,10,SA,1574531819,36,24.63,46.72,64.4,5.82
coruripe,81,BR,1574532062,70,-10.12,-36.18,80.46,15.1
burnie,24,AU,1574531671,86,-41.05,145.91,41.0,1.99
saskylakh,98,RU,1574532062,99,71.97,114.09,-21.91,2.37
payo,100,ID,1574532062,95,-3.75,103.64,67.66,2.77
dingle,23,PH,1574532063,88,11.0,122.67,75.16,7.81
anchorage,90,US,1574532063,92,61.22,-149.89,37.4,8.9
salta,40,AR,1574532063,51,-24.79,-65.41,80.6,5.82
port-cartier,75,CA,1574532063,76,50.03,-66.88,33.01,13.87
khatanga,98,RU,1574532063,99,71.98,102.47,-17.73,2.95
forio,20,IT,1574532063,59,40.73,13.86,64.99,3.36
bahia honda,5,CU,1574532063,58,22.9,-83.16,81.21,6.87
salalah,0,OM,1574532063,28,17.01,54.1,82.4,17.22
lokosovo,95,RU,1574532063,96,61.13,74.84,15.51,3.38
vardo,1,US,1574532064,65,39.62,-77.74,43.0,6.93
kingaroy,90,AU,1574532064,82,-26.54,151.84,66.2,2.19
honiara,20,SB,1574532064,100,-9.43,159.96,73.4,3.36
ossora,0,RU,1574532064,71,59.24,163.07,18.99,3.83
coquimbo,90,CL,1574532064,77,-29.95,-71.34,64.4,10.29
gizo,0,IL,1574532064,59,31.8,34.94,66.2,4.7
ekhabi,84,RU,1574532064,77,53.51,142.97,20.73,20.45
mindelo,40,PT,1574532064,87,41.31,-8.72,57.99,4.7
kannad,70,IN,1574532064,53,20.26,75.13,74.88,6.08
mar del plata,100,AR,1574532064,45,-46.43,-67.52,64.36,12.97
darovskoy,87,RU,1574532065,64,58.77,47.96,18.9,4.92
mhango,100,TZ,1574532065,88,-2.75,33.92,67.3,13.06
ilulissat,100,GL,1574532060,64,69.22,-51.1,32.11,14.2
isangel,97,VU,1574532065,75,-19.55,169.27,70.03,15.55
zhongshu,5,CN,1574532065,96,24.52,103.77,50.0,1.16
amapa,20,HN,1574531684,58,15.09,-87.97,90.0,2.24
jardim,99,BR,1574531664,31,-21.48,-56.15,96.69,4.63
bilibino,49,RU,1574532065,100,68.06,166.44,-33.92,1.28
port blair,0,IN,1574531667,69,11.67,92.75,81.91,11.32
ulverstone,24,AU,1574532065,87,-41.16,146.17,50.0,1.99
haines junction,18,CA,1574532065,97,60.75,-137.51,17.8,6.8
santa cruz,47,BR,1574532066,30,-6.22,-36.02,95.47,10.22
nacala,99,MZ,1574532066,88,-14.56,40.69,78.3,6.44
ust-tsilma,100,RU,1574532066,95,65.44,52.15,30.38,5.86
hami,0,CN,1574532066,26,42.84,93.51,19.18,7.02
lisakovsk,52,KZ,1574532066,92,52.55,62.49,13.87,6.87
athabasca,58,CA,1574532066,76,54.72,-113.29,37.98,13.8
grants,1,US,1574532066,60,35.15,-107.85,41.0,10.29
lydenburg,42,ZA,1574532066,92,-25.1,30.46,61.56,7.78
salsomaggiore terme,75,IT,1574532066,100,44.81,9.98,55.99,22.32
saint-denis,75,FR,1574532067,87,48.94,2.36,51.01,8.05
cape canaveral,1,US,1574532067,53,28.41,-80.6,81.0,6.93
mayo,40,CA,1574531657,92,63.59,-135.9,10.4,3.36
margate,57,AU,1574532067,53,-43.03,147.26,50.0,9.17
west fargo,1,US,1574532067,69,46.88,-96.9,41.0,9.17
borogontsy,32,RU,1574531705,98,62.67,131.17,-28.61,5.99
tadine,79,NC,1574532067,67,-21.55,167.88,69.66,11.12
saint-augustin,90,CA,1574532053,77,45.63,-73.98,36.0,13.87
rawson,36,AR,1574532067,35,-43.3,-65.11,67.71,30.33
tuatapere,77,NZ,1574532068,90,-46.13,167.69,55.0,21.99
kieta,100,PG,1574532068,76,-6.22,155.63,78.85,10.45
svetlogorsk,40,RU,1574532068,53,53.14,59.15,23.0,15.66
madona,100,LV,1574532068,48,56.85,26.22,24.21,8.57
mitu,0,IR,1574531694,53,36.2,46.09,31.68,4.85
komsomolskiy,100,RU,1574532068,85,67.55,63.78,7.45,2.91
claveria,99,PH,1574532068,93,8.61,124.89,75.0,5.99
beloha,0,MG,1574532068,73,-25.17,45.06,70.41,15.19
kaeo,71,NZ,1574532068,100,-35.1,173.78,57.99,9.91
chimoio,40,MZ,1574532068,83,-19.11,33.48,78.8,6.85
diu,16,IN,1574532069,70,20.71,70.98,80.92,9.06
coahuayana,71,MX,1574532069,64,18.62,-100.35,84.56,2.06
rafaela,8,AR,1574532069,24,-31.25,-61.49,87.01,7.0
yar-sale,69,RU,1574532069,95,66.83,70.83,-9.15,7.23
vostok,100,RU,1574532069,86,46.45,135.83,20.95,4.5
khash,22,IR,1574532069,43,28.22,61.21,46.76,6.46
dauphin,40,CA,1574531692,65,51.15,-100.04,41.0,16.11
ostashkov,100,RU,1574532069,37,57.14,33.12,24.37,7.49
bakchar,100,RU,1574532069,94,57.02,82.07,-2.36,9.24
lagoa,20,PT,1574532058,59,37.14,-8.45,60.8,10.29
costesti,100,RO,1574532070,83,44.66,24.88,37.8,8.39
kachiry,100,KZ,1574532070,92,53.07,76.1,4.93,7.94
de-kastri,11,RU,1574532070,49,51.48,140.77,24.55,15.19
iwanai,100,JP,1574532070,91,42.97,140.51,37.87,6.53
boa vista,64,BR,1574532070,57,2.82,-60.67,87.48,3.06
quatre cocos,75,MU,1574532071,78,-20.21,57.76,80.6,2.24
christchurch,67,NZ,1574532000,93,-43.53,172.64,66.0,9.17
tessalit,0,ML,1574532071,12,20.2,1.01,78.3,9.17
lira,100,UG,1574532071,97,2.25,32.9,63.82,3.36
klaksvik,5,FO,1574531840,93,62.23,-6.59,44.6,4.7
kiama,100,AU,1574532071,93,-34.67,150.86,64.99,9.17
moose factory,90,CA,1574532071,86,51.26,-80.61,33.8,13.87
geraldton,90,CA,1574532072,86,49.72,-86.95,28.4,6.93
luderitz,0,NA,1574532072,81,-26.65,15.16,60.46,25.17
concordia,40,AR,1574532072,44,-31.4,-58.02,79.0,11.41
novo aripuana,77,BR,1574532072,60,-5.12,-60.38,86.05,3.98
quepos,20,CR,1574532006,47,9.43,-84.16,82.4,10.29
goure,0,NE,1574532072,14,13.98,10.27,89.01,1.99
port-gentil,40,GA,1574532072,83,-0.72,8.78,82.4,9.17
leningradskiy,92,RU,1574532073,96,69.38,178.42,-4.4,21.07
sao joao da barra,99,BR,1574531843,52,-21.64,-41.05,91.4,9.17
veraval,90,FR,1574532073,93,49.65,0.71,51.01,11.41
abalak,0,NE,1574532073,11,15.46,6.28,86.83,7.74
dong hoi,0,VN,1574532073,90,17.48,106.6,66.0,2.98
buta,67,CD,1574532073,98,2.79,24.73,71.29,0.25
tsiroanomandidy,96,MG,1574532073,71,-18.77,46.05,74.08,5.59
rorvik,84,NO,1574532073,75,64.86,11.24,43.0,3.0
portland,20,US,1574531787,35,43.66,-70.25,43.0,6.93
mahajanga,40,MG,1574532074,83,-15.72,46.32,82.4,6.93
spantov,90,RO,1574532074,100,44.12,26.78,37.0,5.82
kurikka,90,FI,1574532074,88,62.62,22.4,33.01,4.7
kirkwood,36,ZA,1574532074,77,-33.4,25.44,66.2,14.99
lavrentiya,100,RU,1574532074,74,65.58,-170.99,17.62,13.53
mahebourg,75,MU,1574532074,78,-20.41,57.7,80.6,2.24
beyneu,0,KZ,1574532074,38,45.32,55.19,22.71,3.65
port hedland,100,AU,1574531678,69,-20.31,118.58,80.6,8.05
bowen,14,AU,1574531408,93,-20.01,148.25,68.0,4.7
chegdomyn,45,RU,1574532075,94,51.13,133.04,-2.6,3.36
praya,40,ID,1574532075,88,-8.71,116.27,80.6,1.99
khani,0,GE,1574532075,42,41.96,42.96,46.4,32.21
puerto narino,90,CO,1574531685,100,-3.77,-70.38,77.0,4.7
cabo san lucas,5,MX,1574532075,64,22.89,-109.91,79.0,6.93
puri,12,ID,1574532076,77,-7.54,112.45,76.73,2.21
sur,68,OM,1574532076,62,22.57,59.53,73.17,9.31
alta floresta,40,BR,1574532076,59,-9.87,-56.08,89.6,3.36
faanui,92,PF,1574532070,78,-16.48,-151.75,80.87,16.89
carire,62,BR,1574532076,33,-3.95,-40.47,96.26,5.86
kalevala,95,FI,1574532076,91,64.12,29.58,28.44,5.99
ulaanbaatar,67,MN,1574532076,75,47.92,106.92,-13.0,2.24
charyshskoye,92,RU,1574532076,69,51.4,83.56,6.51,2.51
palmer,1,AU,1574532076,87,-34.85,139.16,54.0,3.22
rocha,6,UY,1574532076,57,-34.48,-54.34,65.55,14.41
laurel,1,US,1574531780,60,39.1,-76.85,44.6,3.36
khandyga,60,RU,1574531680,98,62.65,135.58,-31.43,2.37
lorengau,92,PG,1574532077,77,-2.02,147.27,83.12,11.74
vestmanna,68,FO,1574532077,93,62.16,-7.17,44.6,4.7
hamilton,1,CA,1574531848,64,43.26,-79.87,43.0,11.41
ternate,20,PH,1574532077,88,14.29,120.72,80.01,3.36
wanning,5,AT,1574531672,66,48.64,13.53,52.0,12.75
sterlibashevo,32,RU,1574532077,85,53.44,55.26,15.44,9.8
chambas,20,CU,1574532078,58,22.19,-78.91,82.4,12.75
longonjo,48,AO,1574532078,61,-12.91,15.25,67.15,3.22
cayenne,75,GF,1574532078,66,4.94,-52.33,89.6,16.11
faya,5,SA,1574532078,87,18.39,42.45,60.8,4.7
chicama,40,PE,1574532078,73,-7.84,-79.15,69.8,12.75
tocopilla,0,CL,1574532078,33,-22.09,-70.2,74.03,12.59
alyangula,0,AU,1574531683,100,-13.85,136.42,77.0,5.21
adrar,0,DZ,1574532078,26,27.87,-0.29,78.8,17.22
key west,1,US,1574531981,95,47.93,-96.78,35.6,9.17
biak,71,ID,1574532079,74,-0.91,122.88,81.59,1.19
itacare,20,BR,1574532079,70,-14.28,-39.0,87.8,9.17
kununurra,54,AU,1574532079,74,-15.77,128.74,78.8,2.24
shimizu,75,JP,1574532079,100,35.71,139.62,59.0,18.34
jackson,1,US,1574532009,50,43.48,-110.76,36.0,4.23
longhua,74,CN,1574532080,82,29.21,106.21,56.95,3.06
sterling,75,US,1574532080,60,39.0,-77.4,44.01,6.93
sept-iles,75,CA,1574531697,70,50.2,-66.38,33.01,13.87
maiduguri,69,NG,1574532080,15,11.84,13.15,85.23,8.79
balkhash,50,KZ,1574532080,53,46.84,74.98,19.27,4.76
broken hill,0,AU,1574532081,42,-31.97,141.45,62.6,14.99
marsa matruh,0,EG,1574531793,64,31.35,27.25,68.0,5.32
pilar,0,AR,1574532081,49,-34.46,-58.91,79.0,16.11
san luis,86,AR,1574532017,40,-33.3,-66.34,84.04,18.92
san juan,39,AR,1574532081,35,-31.54,-68.53,87.62,20.58
tramore,75,IE,1574532081,93,52.16,-7.15,48.2,9.17
cairns,75,AU,1574531830,78,-16.92,145.77,71.6,5.82
ancud,75,CL,1574532081,63,-41.87,-73.83,62.6,18.34
adre,0,TD,1574532081,16,13.47,22.2,76.06,11.43
uspantan,0,GT,1574532081,52,15.35,-90.87,70.9,5.97
college,90,US,1574531687,100,64.86,-147.8,24.8,3.36
nambucca heads,92,AU,1574532082,88,-30.64,152.99,68.0,6.93
fairbanks,90,US,1574531837,100,64.84,-147.72,21.2,3.36
leiyang,0,CN,1574532082,63,26.42,112.85,65.23,3.29
ankazoabo,84,MG,1574532082,63,-22.29,44.51,74.73,7.74
parrita,20,CR,1574532006,47,9.52,-84.33,82.4,10.29
eureka,1,US,1574532051,76,40.8,-124.16,53.01,4.7
poronaysk,85,RU,1574532082,74,49.22,143.1,42.46,16.02
muroto,0,JP,1574532082,80,33.37,134.14,56.01,4.92
methoni,40,GR,1574532083,87,36.82,21.7,61.0,10.2
heze,84,CN,1574532083,58,35.25,115.45,52.95,10.98
ust-kuyga,100,RU,1574532083,97,70.0,135.55,-24.9,7.61
manokwari,100,ID,1574532083,72,-0.87,134.08,74.46,4.97
inirida,31,CO,1574532083,75,3.87,-67.92,87.15,2.8
sigli,10,ID,1574532083,75,5.38,95.96,81.68,7.11
pandamatenga,88,BW,1574532083,46,-18.54,25.64,82.38,6.93
zhezkazgan,6,KZ,1574531699,78,47.8,67.71,9.45,1.7
shaoguan,0,CN,1574532084,70,24.81,113.59,60.12,1.81
jacareacanga,56,BR,1574532084,73,-6.22,-57.76,85.08,0.65
trapani,40,IT,1574532084,60,38.02,12.54,68.0,10.29
ca mau,100,VN,1574532084,94,9.18,105.15,75.11,3.74
shache,26,CN,1574532084,39,38.42,77.24,30.61,4.32
nelson bay,90,AU,1574532084,93,-32.72,152.14,68.0,6.06
sabang,48,PH,1574532084,94,13.8,121.11,73.35,4.32
